tkn_pair,oracle_price,time,id,block_number
AAVE/USD,24704645930,1747862651,204895,7588768
AAVE/USD,24885823512,1747861930,204886,7588655
AAVE/USD,24749145718,1747859776,204841,7588306
AAVE/USD,24878300060,1747858930,204835,7588170
AAVE/USD,24747778501,1747858452,204824,7588094
AAVE/USD,24892139942,1747857614,204802,7587964
AAVE/USD,24726763508,1747856417,204795,7587774
AAVE/USD,24549465312,1747855933,204782,7587703
AAVE/USD,24412738392,1747854615,204704,7587491
AAVE/USD,24586907407,1747853774,204670,7587358
AAVE/USD,24749428096,1747853541,204666,7587324
AAVE/USD,24889009869,1747853178,204662,7587268
AAVE/USD,24637028765,1747851861,204638,7587060
AAVE/USD,24764742693,1747851428,204629,7586987
AAVE/USD,24895028406,1747851075,204591,7586932
AAVE/USD,24725825447,1747850112,204577,7586778
AAVE/USD,24883787230,1747849517,204561,7586684
AAVE/USD,25037632749,1747848932,204534,7586592
AAVE/USD,24891062697,1747848561,204519,7586532
AAVE/USD,25029558814,1747848336,204506,7586496
AAVE/USD,25229065418,1747848071,204496,7586454
AAVE/USD,25475324830,1747847561,204479,7586376
AAVE/USD,25641198200,1747846840,204464,7586260
AAVE/USD,25855000746,1747846596,204459,7586222
AAVE/USD,25990842640,1747846152,204444,7586152
AAVE/USD,25819877489,1747845258,204398,7586014
AAVE/USD,25685684213,1747844661,204390,7585916
AAVE/USD,25553093619,1747844176,204382,7585836
AAVE/USD,25391000239,1747840506,204295,7585248
AAVE/USD,25650692309,1747840030,204282,7585173
AAVE/USD,25493361078,1747839154,204261,7585037
AAVE/USD,25275257464,1747838065,204240,7584864
AAVE/USD,25455052626,1747837815,204223,7584825
AAVE/USD,25593121405,1747837337,204209,7584752
AAVE/USD,25433258744,1747836616,204206,7584631
AAVE/USD,25291281395,1747835067,204185,7584398
AAVE/USD,25170962998,1747833130,204156,7584102
AAVE/USD,25314964195,1747829052,204107,7583453
AAVE/USD,25448013913,1747828092,204093,7583296
AAVE/USD,25598214684,1747825693,204080,7582926
AAVE/USD,25465265515,1747825449,204078,7582888
AAVE/USD,25320453721,1747823410,204058,7582577
AAVE/USD,25467530423,1747822570,204056,7582485
AAVE/USD,25339574106,1747821130,204051,7582371
AAVE/USD,25474313128,1747820410,204045,7582313
AAVE/USD,25614319999,1747818496,204036,7582162
AAVE/USD,25768703603,1747816576,204023,7582007
AAVE/USD,25973936437,1747815612,204009,7581932
AAVE/USD,26107881171,1747814170,203970,7581816
AAVE/USD,25961768013,1747811781,203920,7581626
AAVE/USD,26106767688,1747807812,203904,7581310
AAVE/USD,25968175353,1747804817,203886,7581069
AAVE/USD,25796539604,1747801089,203843,7580767
AAVE/USD,25983748331,1747800610,203833,7580728
AAVE/USD,25830223144,1747800250,203822,7580700
